,DMI,AO,AMON,NAO,NINO,PDO
1971-12-01,0.215,0.824,-0.321,0.76,-0.9,-1.77
1972-01-01,0.143,0.166,-0.331,-0.52,-0.7,-2.12
1972-02-01,-0.216,-0.195,-0.393,-0.2,-0.4,-1.95
1972-03-01,0.031,-0.141,-0.452,0.26,0.1,-1.53
1972-04-01,0.131,1.007,-0.339,0.22,0.4,-1.7
1972-05-01,0.157,0.14,-0.482,1.24,0.7,-2.16
1972-06-01,0.739,-0.049,-0.501,1.07,0.9,-1.84
1972-07-01,0.708,-0.553,-0.388,0.41,1.1,-1.48
1972-08-01,0.511,-0.082,-0.396,0.11,1.4,-0.11
1972-09-01,0.363,-0.92,-0.316,-4.11,1.6,-0.2
1972-10-01,0.327,0.392,-0.299,-1.74,1.8,-0.22
1972-11-01,0.671,-0.38,-0.29,0.64,2.1,-0.05
1972-12-01,0.477,1.238,-0.364,2.11,2.1,-0.37
1973-01-01,0.043,1.232,-0.387,1.37,1.8,-0.15
1973-02-01,-0.077,0.786,-0.406,1.22,1.2,-0.55
1973-03-01,-0.001,0.537,-0.357,1.04,0.5,-0.88
1973-04-01,-0.117,-1.126,-0.277,-2.61,-0.1,-1.35
1973-05-01,0.085,0.073,-0.182,0.37,-0.5,-1.59
1973-06-01,-0.225,0.531,-0.188,0.83,-0.9,-1.44
1973-07-01,-0.495,0.27,-0.117,-1.85,-1.1,-1.4
1973-08-01,-0.607,0.313,-0.146,2.32,-1.3,-1.56
1973-09-01,-0.773,0.114,-0.144,-0.79,-1.5,-1.05
1973-10-01,-0.449,0.337,-0.229,-1.03,-1.7,-1.36
1973-11-01,-0.157,0.002,-0.222,-0.26,-1.9,-1.42
1973-12-01,0.047,-0.181,-0.251,-1.65,-2.0,-0.89
1974-01-01,0.279,0.232,-0.289,3.75,-1.8,-0.86
1974-02-01,0.156,-0.489,-0.296,0.68,-1.6,-1.38
1974-03-01,0.249,-0.746,-0.414,-0.81,-1.2,-1.21
1974-04-01,-0.053,0.309,-0.536,-2.3,-1.0,-0.62
1974-05-01,-0.239,-0.507,-0.513,-0.01,-0.9,-0.72
1974-06-01,-0.027,-0.048,-0.46,-0.14,-0.8,-0.37
1974-07-01,-0.249,0.39,-0.528,2.07,-0.5,0.02
1974-08-01,-0.497,-0.533,-0.481,0.89,-0.4,-0.27
1974-09-01,-0.661,-0.136,-0.519,0.11,-0.4,0.71
1974-10-01,-0.845,-1.024,-0.521,-1.44,-0.6,0.19
1974-11-01,-0.551,-0.435,-0.439,1.27,-0.8,0.61
1974-12-01,-0.36,0.556,-0.374,3.06,-0.6,0.27
1975-01-01,-0.367,1.595,-0.286,2.43,-0.5,-0.65
1975-02-01,-0.249,0.194,-0.351,0.4,-0.6,-0.93
1975-03-01,-0.464,0.151,-0.322,-1.26,-0.7,-1.07
1975-04-01,0.087,0.409,-0.358,-0.84,-0.7,-1.79
1975-05-01,0.066,-0.614,-0.401,-2.42,-0.8,-2.08
1975-06-01,0.055,-0.323,-0.308,0.18,-1.0,-1.61
1975-07-01,-0.039,0.345,-0.285,0.63,-1.1,-0.84
1975-08-01,-0.344,0.13,-0.198,0.08,-1.2,-1.56
1975-09-01,-0.857,1.278,-0.349,1.75,-1.4,-1.6
1975-10-01,-1.056,0.138,-0.367,0.39,-1.4,-1.59
1975-11-01,-0.328,0.619,-0.354,0.86,-1.6,-1.73
1975-12-01,-0.17,1.29,-0.335,-1.57,-1.7,-1.49
1976-01-01,0.005,0.034,-0.398,0.75,-1.6,-1.08
1976-02-01,0.077,1.656,-0.454,1.29,-1.2,-1.01
1976-03-01,0.02,0.587,-0.507,1.87,-0.7,-1.31
1976-04-01,0.122,0.44,-0.439,-1.53,-0.5,-1.38
1976-05-01,-0.004,0.06,-0.501,1.2,-0.3,-1.23
1976-06-01,0.369,0.328,-0.497,1.76,0.0,-1.26
1976-07-01,0.594,-0.325,-0.32,-0.57,0.2,0.28
1976-08-01,0.107,0.559,-0.198,0.62,0.4,0.97
1976-09-01,-0.208,-0.743,-0.206,-3.46,0.6,0.58
1976-10-01,-0.231,-0.804,-0.306,-0.64,0.8,1.12
1976-11-01,-0.181,-0.087,-0.429,1.5,0.9,1.33
1976-12-01,0.028,-2.074,-0.445,-3.63,0.8,1.2
1977-01-01,-0.003,-3.767,-0.402,-2.36,0.7,1.24
1977-02-01,-0.261,-2.01,-0.346,0.28,0.6,1.51
1977-03-01,0.174,0.344,-0.196,1.33,0.3,0.62
1977-04-01,-0.029,1.329,-0.23,1.07,0.2,-0.25
